company,total_sites,inspected,inspector_problem,silt,inlet,gravel,veg,general,enforced,problem_no_enforcement
SA GRAHAM COMPANY INC,9,5,0,0,0,0,0,0,1,0
ALABAMA A AND M UNIVERSITY,9,5,2,0,0,0,0,2,0,2
MONTGOMERY CITY OF WWSSB,9,1,0,0,0,0,0,0,1,0
WOODWARD CONSTRUCTION AND DESIGN,9,6,4,0,0,0,1,4,1,3
JACKSONVILLE STATE UNIVERSITY,9,7,5,1,3,0,3,5,0,5
WYATT GENERAL CONTRACTOR LLC,9,2,2,1,1,0,1,2,1,1
HUNTSVILLE MADISON CO AIRPORT AUTHORITY,9,2,1,0,0,0,0,1,0,1
PROMINENCE HOMES LLC,9,8,5,1,2,1,3,3,5,2
T E STEVENS COMPANY INC,9,2,2,0,1,0,0,2,0,2
CHRISTIAN BROTHERS AUTOMOTIVE CORPORATION,9,4,2,0,0,0,1,2,0,2
BLACKBURN CONSTRUCTION INC,9,5,5,0,0,0,0,5,0,5
BC STONE HOMES LLC,9,3,0,0,0,0,0,0,2,0
FORESTAR USA REAL ESTATE GROUP INC,9,4,1,0,0,0,1,1,2,0
PIERCE AND ALLRED CONSTRUCTION INC,9,5,5,1,0,0,0,5,0,5
WAWA ALABAMA LLC,9,8,2,0,0,0,0,2,2,2
MAVIS TIRE SUPPLY LLC,9,2,2,0,0,0,0,2,0,2
FOLEY CITY OF UTILITIES BOARD,8,5,3,0,0,0,1,3,0,3
HOUSTON COUNTY BOARD OF EDUCATION,8,2,0,0,0,0,0,0,0,0
PHENIX CITY BOARD OF EDUCATION,8,6,4,1,1,1,2,2,1,3
RIVERCHASE HOMES LLC,8,6,2,0,0,0,0,2,5,1
ROBINS AND MORTON,8,4,4,1,2,1,1,4,3,1
RUSSELL COUNTY COMMISSION,8,6,3,0,0,0,0,3,0,3
SB DEV CORP,8,6,6,3,4,0,4,5,4,2
SOUTHERN BREW CORP,8,4,4,0,0,0,1,4,0,4
TOLAR CONSTRUCTION LLC,8,4,4,0,0,0,0,4,1,3
WALGREENS,8,6,4,0,0,0,0,4,0,4
ALFRED SALIBA CORPORATION,8,5,2,0,0,0,1,1,2,1
COVINGTON COUNTY COMMISSION,8,5,3,0,0,0,0,3,1,3
FEDERAL EXPRESS CORPORATION,8,6,4,0,0,0,0,4,0,4
LAUDERDALE COUNTY COMMISSION,8,3,2,0,0,0,1,2,2,0
NSH CORPORATION,8,4,3,3,3,1,3,2,2,1
OMAR INC,8,7,5,0,0,0,1,4,0,5
SCHUSTER ENTERPRISES INC,8,7,3,0,0,0,0,3,1,2
SMITHS WATER AND SEWER AUTHORITY,8,2,1,0,0,0,0,1,1,0
WALKER BROTHERS LTD,8,4,2,1,0,0,0,2,2,1
WARRIOR MET COAL BCE LLC,8,2,2,1,0,0,1,1,1,1
BELLSOUTH COMMUNICATION SYSTEMS LLC,8,4,3,0,0,0,0,3,0,3
COFFEE COUNTY COMMISSION,8,3,0,0,0,0,0,0,3,0
CRENSHAW COUNTY COMMISSION,8,5,2,2,0,2,1,1,3,1
EVONIK DEGUSSA CORPORATION,8,5,1,0,0,0,0,1,1,1
HALSTEAD LLC,8,8,6,1,0,1,0,5,3,5
NASA,8,1,1,0,0,0,0,1,0,1
NEW WORLD HOMES INC,8,6,1,0,0,0,0,1,0,1
PANDA EXPRESS INC,8,8,5,3,4,0,1,5,0,5
STANLEY CONSTRUCTION COMPANY INC,8,3,2,0,0,0,1,2,1,1
ALDI INC,8,7,7,5,0,1,2,4,3,4
CONCORD LAND DEVELOPMENT INC,8,6,5,3,1,0,2,4,3,2
GUNTERSVILLE CITY OF,8,5,3,0,0,0,0,3,0,3
JONES CONTRACTORS LLC,8,6,3,0,0,0,0,3,1,3
AUBURN CITY SCHOOLS,8,3,1,0,0,0,1,1,2,0
CRAIG HOMES INC,8,7,4,1,2,1,0,3,1,3
KEEL AND TILL INC,8,4,1,0,0,0,0,1,2,1
TRUSSVILLE CITY SCHOOLS,8,1,1,0,0,0,0,1,0,1
FEDERAL BUREAU OF INVESTIGATION HUNTSVILLE,8,1,1,0,0,0,0,1,0,1
CROWN CONSTRUCTION LLC,8,4,3,2,0,2,3,1,2,1
MADISON UTILITIES,8,2,1,0,0,0,0,1,0,1
TRI SOUTH CONTRACTORS INC,8,7,5,1,1,0,2,5,2,4
U S AIR FORCE,8,1,1,0,1,0,1,0,0,1
3M CHEMICAL OPERATIONS LLC,8,6,5,0,0,0,0,5,0,5
ARMSTRONG AND ASSOCIATES GENERAL CONTRACTING LLC,8,7,2,0,0,0,0,2,3,1
FORT PAYNE CITY OF,8,5,4,1,1,0,0,4,2,3
LOCKHEED MARTIN CORPORATION,8,0,0,0,0,0,0,0,0,0
STONE BUILDING LLC,8,2,1,0,0,0,0,1,1,1
PUBLIX SUPER MARKETS INC,8,7,2,1,0,0,1,2,2,1
ASH GRAYHAWK LLC,8,3,1,0,0,1,1,0,0,1
HALLE PROPERTIES LLC,8,5,2,0,0,0,0,2,1,2
3M COMPANY INC,7,1,0,0,0,0,0,0,1,0
ANNISTON CITY OF,7,2,1,0,0,0,0,1,0,1
BLOUNT COUNTY COMMISSION,7,5,3,0,0,0,0,3,0,3
CVS PHARMACY,7,6,4,0,0,0,1,4,1,3
EL PASO CORPORATION,7,1,0,0,0,0,0,0,0,0
HALLMARK BUILDERS INC,7,7,6,2,2,0,2,5,1,5
HUNTSVILLE HOSPITAL,7,7,7,0,0,0,0,7,1,6
LEE COUNTY BOARD OF EDUCATION,7,3,0,0,0,0,0,0,2,0
LOVES TRAVEL STOPS AND COUNTRY STORES,7,4,3,0,0,1,2,2,1,2
REDSTONE FEDERAL CREDIT UNION,7,5,4,0,0,0,0,4,0,4
ROGERS AND WILLARD INC,7,7,2,0,0,0,0,2,0,2
S J AND L GENERAL CONTRACTORS LLC,7,3,1,1,1,0,1,1,1,0
TAYLOR CORPORATION,7,2,2,0,0,0,0,2,0,2
VETERANS LANDSCAPING COMPANY INC,7,5,5,2,0,0,4,4,3,2
APAC MID SOUTH INC,7,6,4,2,2,1,2,3,2,2
ARK BUILDERS LLC,7,7,7,6,3,2,1,5,4,3
BELFOREST WATER SYSTEM INC,7,4,4,1,0,0,1,4,0,4
BULLARD COOK INC,7,4,2,1,0,1,1,1,2,1
CHURCH OF THE HIGHLANDS,7,3,3,1,1,0,1,3,1,2
DEKALB CHEROKEE COUNTIES GAS DISTRICT,7,3,3,0,0,0,1,3,1,2
EVERGREEN CITY OF,7,3,3,2,2,2,3,3,1,2
H AND N CONSTRUCTION INC,7,7,5,0,0,0,0,5,3,3
J T HARRISON CONSTRUCTION COMPANY INC,7,2,2,0,0,0,1,1,0,2
MOULTON CITY OF,7,7,7,0,0,0,0,7,0,7
PUBLIX SUPER MARKET INC,7,6,2,0,0,0,0,2,1,1
RIVES CONSTRUCTION COMPANY INC,7,4,4,2,3,0,1,4,0,4
SINGLETON EXCAVATING INC,7,0,0,0,0,0,0,0,0,0
BOYD CONSTRUCTION LLC,7,4,2,0,0,0,1,1,2,0
